0-Evaluation - loss: 4.084940  acc1: 35.1979%(2624/7455) acc2: 22.8437%(1703/7455)

1-Evaluation - loss: 3.189543  acc1: 58.7928%(4383/7455) acc2: 38.7123%(2886/7455)

3-Evaluation - loss: 2.028848  acc1: 74.0845%(5523/7455) acc2: 62.0926%(4629/7455)

7-Evaluation - loss: 1.543731  acc1: 79.8256%(5951/7455) acc2: 71.2944%(5315/7455)

15-Evaluation - loss: 1.437335  acc1: 81.8243%(6100/7455) acc2: 74.2186%(5533/7455)

31-Evaluation - loss: 1.483093  acc1: 82.8840%(6179/7455) acc2: 75.0101%(5592/7455)

63-Evaluation - loss: 2.237872  acc1: 79.4366%(5922/7455) acc2: 70.7981%(5278/7455)

127-Evaluation - loss: 1.743431  acc1: 84.0778%(6268/7455) acc2: 77.2099%(5756/7455)

255-Evaluation - loss: 2.453284  acc1: 84.4534%(6296/7455) acc2: 76.8343%(5728/7455)

447-Evaluation - loss: 3.121020  acc1: 84.5741%(6305/7455) acc2: 76.8477%(5729/7455)
